2424-0.5.TXT HR0.49Kmin ML-18.75% TtaDa ExpDat_02406_Ti HR0.98Kmin ML-18.46% TtaDa ExpDat_02368_Ti HR10.56Kmin ML-19.13% TtaDa ExpDat_02431_Ti HR22.43Kmin ML-19.1% TtaDa
278.8649 29772.994 0.566 5.093e-05 299.778 13867.131 0.6231 0.0001013 359.7391 1930.8806 0.7262 0.0007295 367.5102 1082.7457  7.153e-01  1.424e-03
280.6663 29992.474 0.577 4.956e-05 301.4933 13973.036 0.6336 9.53e-05 362.0348 1943.9148 0.736 0.0007688 369.7850 1088.7327  7.243e-01  1.574e-03
282.4388 30211.954 0.5878 4.914e-05 303.2393 14078.942 0.643 8.292e-05 364.307 1956.9489 0.7463 0.0008196 372.0322 1094.7196  7.340e-01  1.629e-03
284.2329 30431.433 0.5987 5.022e-05 304.9643 14184.847 0.6515 8.136e-05 366.5851 1969.9831 0.7572 0.0008427 374.2981 1100.7065  7.435e-01  1.534e-03
286.0223 30650.913 0.6099 5.144e-05 306.6881 14290.753 0.6607 9.276e-05 368.8817 1983.0173 0.768 0.0007913 376.5345 1106.6935  7.522e-01  1.375e-03
287.7965 30870.393 0.6212 5.104e-05 308.4182 14396.658 0.6711 0.0001019 371.1487 1996.0515 0.7776 0.0006793 378.7960 1112.6804  7.600e-01  1.246e-03
289.5951 31089.872 0.6323 5.055e-05 310.1413 14502.564 0.682 0.0001027 373.44 2009.0856 0.786 0.0006287 381.0397 1118.6673  7.674e-01  1.243e-03
291.3797 31309.352 0.6434 5.038e-05 311.8746 14608.469 0.6928 0.0001024 375.7161 2022.1198 0.7942 0.0006345 383.2734 1124.6543  7.750e-01  1.302e-03
293.1758 31528.832 0.6544 4.962e-05 313.6021 14714.375 0.7036 0.0001019 377.9739 2035.154 0.8025 0.0006407 385.4953 1130.6412  7.828e-01  1.297e-03
294.9621 31748.311 0.6653 5.005e-05 315.3306 14820.28 0.7143 9.798e-05 380.2354 2048.1881 0.8108 0.0006288 387.7487 1136.6281  7.905e-01  1.251e-03
296.742 31967.791 0.6764 5.072e-05 317.0714 14926.186 0.7243 9.127e-05 382.5208 2061.2223 0.8189 0.0006165 389.9848 1142.6151  7.978e-01  1.207e-03
298.5389 32187.271 0.6874 4.942e-05 318.8033 15032.091 0.7335 8.299e-05 384.7958 2074.2565 0.827 0.0006184 392.2249 1148.6020  8.050e-01  1.216e-03
300.3403 32406.75 0.6979 4.628e-05 320.5329 15137.997 0.742 7.771e-05 387.0403 2087.2907 0.8349 0.0005954 394.4497 1154.5889  8.126e-01  1.306e-03
302.0859 32626.23 0.7078 4.408e-05 322.2666 15243.902 0.7502 7.826e-05 389.3193 2100.3248 0.8424 0.0005582 396.6712 1160.5759  8.204e-01  1.295e-03
303.8864 32845.71 0.7174 4.399e-05 323.9834 15349.808 0.7586 7.924e-05 391.5737 2113.359 0.8493 0.0004978 398.8916 1166.5628  8.279e-01  1.190e-03
305.6722 33065.189 0.7271 4.368e-05 325.7097 15455.713 0.7668 7.551e-05 393.836 2126.3932 0.8556 0.0004775 401.1257 1172.5497  8.348e-01  1.142e-03
307.4572 33284.669 0.7367 4.459e-05 327.4442 15561.619 0.7745 7.062e-05 396.1041 2139.4273 0.862 0.0005113 403.3370 1178.5367  8.419e-01  1.245e-03
309.2312 33504.149 0.7467 4.644e-05 329.1682 15667.525 0.782 6.994e-05 398.3563 2152.4615 0.8692 0.0005902 405.5461 1184.5236  8.493e-01  1.170e-03
311.0158 33723.628 0.757 4.658e-05 330.9107 15773.43 0.7894 7e-05 400.6151 2165.4957 0.8765 0.0005065 407.7650 1190.5105  8.559e-01  1.052e-03
312.7893 33943.108 0.7671 4.54e-05 332.6327 15879.336 0.7967 6.963e-05 402.8674 2178.5298 0.8822 0.0003666 409.9795 1196.4975  8.621e-01  1.039e-03
314.5728 34162.588 0.7768 4.31e-05 334.3667 15985.241 0.8045 7.932e-05 405.1191 2191.564 0.887 0.0004106 412.1949 1202.4844  8.683e-01  1.021e-03
316.3489 34382.067 0.786 4.036e-05 336.0944 16091.147 0.8139 9.766e-05 407.3707 2204.5982 0.8933 0.0005456 414.3912 1208.4713  8.741e-01  9.257e-04
318.1666 34601.547 0.7945 3.779e-05 337.8287 16197.052 0.8245 9.606e-05 409.6197 2217.6324 0.9007 0.0005706 416.5975 1214.4583  8.795e-01  8.818e-04
319.9409 34821.027 0.8028 3.818e-05 339.5549 16302.958 0.8332 6.473e-05 411.8807 2230.6665 0.9074 0.0004471 418.7979 1220.4452  8.848e-01  8.830e-04
