1.Temperature[°C] 1.Time[s] 1.Conversion[-] 1.Conversion_rate[1/s] 2.Temperature[°C] 2.Time[s] 2.Conversion[-] 2.Conversion_rate[1/s] 3.Temperature[°C] 3.Time[s] 3.Conversion[-] 3.Conversion_rate[1/s] 4.Temperature[°C] 4.Time[s] 4.Conversion[-] 4.Conversion_rate[1/s]
99.67929 1969.737 0.02709 0.0001162 107.18573 897.1426 0.02279 0.0004211 106.52644 545.4422 0.01106 0.0003932 102.71701 345.9308 0.005587 -0.0005414
100.00324 1979.527 0.02825 0.0001513 107.55516 901.1145 0.0246 0.0004797 106.91893 547.1156 0.01203 0.0004202 103.13114 346.9388 0.00555 0.0007165
100.34892 1989.317 0.02983 0.000166 107.97665 905.0864 0.02706 0.0006887 107.30846 548.7889 0.01235 0.0002947 103.57444 347.9469 0.006756 0.000998
100.66858 1999.107 0.03141 0.0001728 108.38272 909.0582 0.0293 0.0004001 107.72326 550.4623 0.01305 0.0002887 104.01694 348.9549 0.006825 3.996e-05
100.99031 2008.896 0.03375 0.0002513 108.78817 913.0301 0.0312 0.0005273 108.10851 552.1357 0.01399 0.0006259 104.43092 349.9629 0.006828 -1.655e-05
101.33174 2018.686 0.03596 0.0001947 109.18719 917.002 0.0334 0.0005504 108.5052 553.809 0.01476 0.0001927 104.87168 350.971 0.006859 0.0007596
101.66212 2028.476 0.03805 0.0002014 109.56654 920.9738 0.03558 0.0005657 108.91506 555.4824 0.01547 0.0004747 105.30917 351.979 0.008073 0.0008156
101.99216 2038.266 0.0403 0.0002609 109.97882 924.9457 0.03803 0.0007029 109.301 557.1558 0.01598 0.0002644 105.73855 352.9871 0.008228 0.0006638
102.31319 2048.056 0.04286 0.0002461 110.37649 928.9175 0.04086 0.0006844 109.70291 558.8291 0.01676 0.0005523 106.16063 353.9951 0.008791 0.0002016
102.66316 2057.846 0.04523 0.0002403 110.77319 932.8894 0.04366 0.0007597 110.10526 560.5025 0.01749 0.0004558 106.58616 355.0031 0.008722 0.0001633
102.96276 2067.636 0.04766 0.0002877 111.15944 936.8613 0.04688 0.000895 110.49856 562.1759 0.01826 0.0004162 107.04413 356.0112 0.009285 0.0006288
103.31867 2077.426 0.05037 0.0002594 111.54951 940.8331 0.05051 0.0009008 110.89895 563.8492 0.01923 0.000633 107.47535 357.0192 0.009398 -0.0001088
103.65976 2087.216 0.05281 0.0002695 111.95043 944.805 0.05407 0.0009457 111.28801 565.5226 0.02041 0.0009803 107.91867 358.0273 0.00954 0.0006205
103.98226 2097.006 0.05596 0.0003386 112.33837 948.7768 0.0579 0.0009527 111.69211 567.196 0.022 0.0007108 108.35133 359.0353 0.01008 7.811e-05
104.30281 2106.796 0.05896 0.0002771 112.72086 952.7487 0.06178 0.001066 112.08965 568.8693 0.02303 0.0007201 108.78293 360.0433 0.01004 -4.014e-06
104.63852 2116.586 0.0621 0.000369 113.11694 956.7206 0.06624 0.001104 112.48039 570.5427 0.02429 0.0008293 109.22361 361.0514 0.01019 0.0006482
104.96233 2126.376 0.06562 0.0003457 113.50847 960.6924 0.07039 0.001039 112.8626 572.2161 0.02553 0.0007578 109.66476 362.0594 0.01071 6.961e-05
105.29329 2136.166 0.06903 0.0004014 113.89653 964.6643 0.07474 0.001218 113.25405 573.8894 0.02696 0.0009684 110.1138 363.0675 0.01065 3.132e-05
105.6249 2145.956 0.07309 0.0003914 114.28907 968.6361 0.0796 0.001179 113.66455 575.5628 0.02857 0.001287 110.54721 364.0755 0.0111 0.0009701
105.94503 2155.746 0.07672 0.0003751 114.66041 972.608 0.08422 0.001247 114.05067 577.2362 0.03095 0.001396 110.99588 365.0835 0.01248 0.0008366
106.29316 2165.536 0.08045 0.0004127 115.06207 976.5799 0.08933 0.001267 114.45892 578.9095 0.03293 0.001264 111.43983 366.0916 0.01257 2.961e-05
106.59061 2175.326 0.08478 0.000455 115.45565 980.5517 0.09444 0.001337 114.84594 580.5829 0.03511 0.001267 111.8806 367.0996 0.01367 0.001191
106.95148 2185.116 0.08896 0.0004233 115.82534 984.5236 0.09993 0.001432 115.22924 582.2563 0.03722 0.001354 112.32287 368.1076 0.0139 0.0003456
107.28474 2194.906 0.0931 0.0004267 116.21752 988.4955 0.106 0.001523 115.62512 583.9296 0.03968 0.001575 112.76035 369.1157 0.01441 0.0005341
107.58275 2204.695 0.09739 0.0004632 116.6073 992.4673 0.1117 0.001398 116.03368 585.603 0.04265 0.001972 113.21811 370.1237 0.01547 0.001014
107.91504 2214.485 0.1019 0.0004674 116.96538 996.4392 0.118 0.001631 116.43729 587.2764 0.04561 0.001621 113.66842 371.1318 0.01625 0.001056
108.26452 2224.275 0.1071 0.0006145 117.36917 1000.411 0.1243 0.001496 116.81787 588.9497 0.04832 0.00167 114.09949 372.1398 0.01715 -0.0004134
108.59339 2234.065 0.1128 0.0005055 117.73343 1004.3829 0.1305 0.001622 117.21598 590.6231 0.05145 0.002147 114.54133 373.1478 0.01779 0.0016
108.90888 2243.855 0.1175 0.0005036 118.11996 1008.3548 0.1372 0.001732 117.60882 592.2965 0.05511 0.002261 114.99373 374.1559 0.0194 0.001137
109.2519 2253.645 0.1228 0.000581 118.50895 1012.3266 0.1438 0.001567 118.01341 593.9698 0.05914 0.002577 115.44787 375.1639 0.02018 0.000685
109.57519 2263.435 0.1286 0.000591 118.87939 1016.2985 0.1505 0.001907 118.40572 595.6432 0.06361 0.00275 115.90698 376.172 0.02077 0.0007198
109.89695 2273.225 0.1344 0.0005869 119.25056 1020.2703 0.1593 0.0026 118.79658 597.3166 0.06825 0.002783 116.35868 377.18 0.02198 0.001146
110.20479 2283.015 0.1404 0.0006545 119.64201 1024.2422 0.1701 0.002542 119.19862 598.9899 0.0728 0.002538 116.80932 378.188 0.02268 0.001952
110.56532 2292.805 0.1469 0.0006568 120.00065 1028.2141 0.1791 0.001931 119.59905 600.6633 0.07681 0.00232 117.25123 379.1961 0.02513 0.0007906
110.87688 2302.595 0.1535 0.0007166 120.37077 1032.1859 0.1867 0.001879 120.00201 602.3367 0.08053 0.002041 117.71093 380.2041 0.02628 0.00146
111.20798 2312.385 0.1607 0.0007591 120.75782 1036.1578 0.1954 0.002515 120.38026 604.0101 0.08424 0.0026 118.15718 381.2122 0.02738 0.001022
111.55506 2322.175 0.1686 0.0008275 121.13615 1040.1297 0.2061 0.002562 120.78449 605.6834 0.08871 0.002533 118.61826 382.2202 0.02885 0.001368
111.87871 2331.965 0.1763 0.000783 121.5042 1044.1015 0.2159 0.002441 121.18575 607.3568 0.0929 0.002614 119.0622 383.2282 0.02988 0.00145
